id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,A_Seqv,B_Seqv,C_Seqv,D_Seqv
时间/s,主蒸汽温度,主蒸汽压力,主蒸汽流量,汽机功率,转速信号,高压缸排气温度,高压缸排气压力,高压缸内缸温度测点,中压缸排气温度,中压缸排气压力,#1级抽气温度,#1级抽气压力,#3级抽气温度,#3级抽气压力,#4级抽气温度,#4级抽气压力,#5级抽气温度,#5级抽气压力,#6级抽气温度1,#6级抽气压力1,#6级抽气温度2,#6级抽气压力2,A_Seqv,B_Seqv,A_S1,B_S1
14019,586.40002,187.10649,1860.309,661.31952,2998.0881,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0491896,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38122112,154.70001,0.082673252,122.2,0.089165583,12.057,21.687,14.063,24.329
14020,586.40002,187.10649,1859.8711,661.31952,2998.0881,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0491896,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38122112,154.70001,0.082673252,122.2,0.089165583,12.055,21.682,14.061,24.325
14021,586.40002,187.10649,1859.8711,661.31952,2998.0881,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0491896,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38122112,154.70001,0.082673252,122.2,0.089165583,12.053,21.678,14.058,24.321
14022,586.40002,187.10649,1859.093,663.11707,2998.0881,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.051,21.673,14.056,24.316
14023,586.40002,187.10649,1859.093,663.11707,2998.938,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.049,21.668,14.054,24.312
14024,586.40002,187.10649,1859.093,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.047,21.664,14.052,24.308
14025,586.40002,187.10649,1862.049,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.045,21.659,14.05,24.304
14026,586.40002,187.10649,1862.049,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.043,21.654,14.048,24.3
14027,586.40002,187.10649,1862.5609,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.041,21.65,14.046,24.296
14028,586.40002,187.10649,1862.5609,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.039,21.645,14.044,24.292
